,ID,name,age,sex,breed,date_found,adoptable_from,posted,color,coat,size,neutered,housebroken,likes_people,likes_children,get_along_males,get_along_females,get_along_cats,keep_in
1682,364,Resi,13.92,female,Unknown Mix,2013-04-10,2013-04-10,2013-04-10,sable,short,medium,,,,,,,,
1683,360,Kajla,7.5,female,Dachshund Mix,2013-04-05,2013-04-05,2013-04-06,brown,short,medium,,,,,,,,
1684,2177,Mrta,9.0,female,Unknown Mix,2013-01-26,2013-01-26,2013-04-06,brown and white,short,medium,,,yes,,yes,,yes,both flat and garden
1685,366,Schnecke,7.83,female,Terrier Mix,2013-04-15,2013-04-15,2013-04-16,gray and black,medium,medium,,,,yes,yes,yes,,
1686,355,Bebi,7.75,female,Unknown Mix,2013-04-03,2013-04-03,2013-04-05,black,medium,medium,,,,,,,,
1687,377,Camillo,8.92,male,Pekingese Mix,2013-04-11,2013-04-11,2013-04-18,brown,short,small,,,,,yes,yes,,
1688,362,Aden,15.92,female,Beagle,2013-04-05,2013-04-05,2013-04-07,tricolor,short,medium,,,,,yes,yes,,
1689,371,Cheryl,7.92,female,Unknown Mix,2013-04-15,2013-04-15,2013-04-16,black,short,medium,,,,yes,yes,yes,,
1690,1937,Guszti,12.58,male,Dachshund Mix,2013-04-16,2013-04-16,2013-04-17,black and brown,wirehaired,medium,,,yes,,,,,garden
1691,368,Bogi,7.67,female,Dachshund Mix,2013-04-15,2013-04-15,2013-04-16,black,short,medium,,,,yes,,,yes,
1692,348,Adele,7.92,female,Unknown Mix,2013-03-26,2013-03-26,2013-03-27,sable,short,medium,,,,,,,,
1693,378,Xanto,9.83,male,Puli Mix,2013-04-18,2013-04-18,2013-04-18,black,long,medium,,,,,yes,yes,,
1694,82,Tina,8.08,female,"Kuvasz, Labrador Retriever Mix",2013-04-02,2013-04-02,2013-04-02,brown and white,short,large,no,,yes,yes,yes,yes,,both flat and garden
1695,367,Geri,9.92,male,Unknown Mix,2013-04-15,2013-04-15,2013-04-16,spotty,short,medium,,,,,,,,
1696,18,Jonny,15.67,male,Unknown Mix,2013-03-15,2013-03-15,2013-04-05,black and brown,short,medium,,,yes,,,,,both flat and garden
1697,504,Ria,7.33,female,Unknown Mix,2013-02-20,2013-04-10,2013-03-22,black and brown,wirehaired,medium,,yes,yes,yes,yes,yes,,both flat and garden
1698,347,Adam,7.75,male,Unknown Mix,2013-03-26,2013-03-26,2013-03-27,black,wirehaired,small,,,,,,,,
1699,73,Rezes,10.0,male,Unknown Mix,2013-02-15,2013-02-15,2013-04-09,red,short,medium,yes,,yes,,no,yes,,garden
1700,4,Borzas,10.75,male,Tibetan Terrier,2012-12-17,2013-03-01,2013-03-12,black,long,medium,,yes,yes,yes,yes,yes,,both flat and garden
1701,11,Suzy,8.17,female,Unknown Mix,2013-03-01,2013-03-01,2013-03-14,black and brown,short,large,yes,,yes,yes,,,,
1702,1,Benga,8.92,male,"Beagle, Chihuahua Mix",2013-03-18,2013-03-18,2013-03-18,black and white,short,small,no,yes,yes,yes,,yes,,both flat and garden
1703,9,Dani,7.75,male,Unknown Mix,2013-03-01,2013-03-14,2013-03-14,black,short,small,,,yes,no,no,no,,both flat and garden
1704,432,Tulipn,12.67,female,Dachshund Mix,2013-03-05,2013-03-05,2013-03-19,red,short,small,,,,,,,,
1705,503,Rta,7.33,female,Unknown Mix,2013-02-20,2013-04-10,2013-03-22,black and brown,wirehaired,medium,,yes,yes,yes,yes,yes,,both flat and garden
1706,495,Anda,7.0,female,Unknown Mix,2013-02-20,2013-04-20,2013-03-08,brown,short,medium,,,yes,yes,yes,yes,,both flat and garden
1707,515,Olgi,8.08,female,Unknown Mix,2011-11-12,2011-11-12,2013-03-12,black,medium,medium,yes,,yes,yes,yes,yes,,both flat and garden
1708,501,Dundi,10.92,female,Dachshund Mix,2013-02-26,2013-03-31,2013-03-19,red,long,small,,yes,yes,,yes,yes,,both flat and garden
1709,913,Grafit Grafi,7.25,male,Terrier Mix,2013-03-01,2013-03-01,2013-03-03,black and tan,short,medium,,,yes,,yes,yes,,both flat and garden
1710,2,Puli Keverk,10.75,male,Unknown Mix,2013-02-10,2013-02-28,2013-03-11,black,long,medium,,,yes,,yes,yes,,
1711,5,Hevesi Palota Pincsi,16.75,male,Pekingese,2013-02-15,2013-02-15,2013-03-13,red,long,small,,,yes,,yes,,,
1712,2016,Tufa,7.25,male,Unknown Mix,2013-03-01,2013-03-01,2013-03-03,yellow-brown,medium,medium,,,,,,,,
1713,502,Rella,7.33,female,Unknown Mix,2013-02-07,2013-03-31,2013-03-21,sable,wirehaired,medium,,yes,yes,yes,yes,yes,,both flat and garden
1714,5,Jamie,8.17,male,Unknown Mix,2013-02-08,2013-03-05,2013-03-05,gray,short,medium,yes,yes,yes,,,yes,,both flat and garden
1715,6,Gyli Tacsk Keverk,8.75,male,Unknown Mix,2012-01-01,2013-01-14,2013-03-13,brown and white,short,medium,,,yes,yes,yes,yes,,
1716,428,Dino,7.67,female,Dachshund Mix,2013-03-05,2013-03-05,2013-03-05,red,short,small,,,,,,,,
1717,1,,13.75,male,Unknown Mix,2013-02-14,2013-02-14,2013-03-11,yellow-brown,short,small,,,yes,yes,,,,
1718,3,Hevesi Keverk Kutyus,10.75,male,Unknown Mix,2013-02-10,2013-02-28,2013-03-11,black and tan,medium,medium,,,yes,,yes,yes,,
1719,345,Bundy,12.92,male,Puli,2013-03-05,2013-03-05,2013-03-05,black,long,medium,,,,,,yes,,
1720,340,Gza,7.92,male,Dachshund Mix,2013-02-25,2013-02-25,2013-02-27,yellow,short,medium,,,,,,yes,,
1721,35,Elhagyott,8.25,female,Unknown Mix,2013-01-01,2013-01-01,2013-02-20,spotty,short,medium,,,,,,,,
1722,333,Leila,8.17,female,Staffordshire Terrier Mix,2013-02-20,2013-02-20,2013-02-21,black and white,short,medium,,,,,,,,
1723,819,Maci,14.75,male,Unknown Mix,2013-01-02,2013-01-02,2013-02-28,brown,medium,large,,,,,,,,
1724,335,Nudli,7.92,female,Unknown Mix,2013-02-21,2013-02-21,2013-02-21,brown,short,medium,,,yes,yes,yes,yes,,
1725,33,Mack,7.0,male,Unknown Mix,2013-01-01,2013-01-01,2013-02-20,apricot,short,medium,yes,,,,no,,no,garden
1726,31,Kisvacak,7.42,male,Unknown Mix,2013-01-01,2013-01-01,2013-02-20,black,medium,small,,yes,,,,,,both flat and garden
1727,825,Beni,18.75,male,Unknown Mix,2012-12-15,2012-12-15,2013-02-28,black and white,short,large,no,,yes,,,,,garden
